datetime,open,high,low,close,volume,open_interest
2024-01-15 09:15:00,22103.41,22103.41,22015.06,22016.49,5436,8243495
2024-01-15 09:20:00,22002.55,22004.75,22002.55,22003.68,6254,7821360
2024-01-15 09:25:00,22020.94,22022.35,22020.6,22021.99,4446,7676365
2024-01-15 09:30:00,22041.22,22045.51,22041.22,22045.51,4652,7828628
2024-01-15 09:35:00,22006.9,22009.23,22006.59,22009.23,5672,7847595
2024-01-15 09:40:00,22009.23,22013.37,22009.23,22013.37,5553,7759524
2024-01-15 09:45:00,22053.23,22054.32,22051.95,22054.32,5138,8318505
2024-01-15 09:50:00,22036.48,22039.58,22036.48,22039.58,5157,8059197
2024-01-15 09:55:00,22012.39,22016.44,22012.39,22016.44,3704,8493961
2024-01-15 10:00:00,22038.69,22039.34,22037.21,22039.34,4435,7998730
2024-01-15 10:05:00,22017.22,22018.98,22016.64,22018.98,3605,8185986
2024-01-15 10:10:00,22018.93,22018.93,22016.92,22016.92,3439,8361548
2024-01-15 10:15:00,22032.48,22035.71,22032.48,22035.71,3915,8581494
2024-01-15 10:20:00,21988.31,21990.56,21988.31,21989.57,3856,8312224
2024-01-15 10:25:00,21993.71,21993.71,21991.79,21992.98,4014,8209109
2024-01-15 10:30:00,22018.55,22020.82,22018.55,22020.82,3010,8642691
2024-01-15 10:35:00,22010.91,22017.16,22010.91,22017.16,3644,8200560
2024-01-15 10:40:00,22046.36,22049.44,22046.17,22049.09,3127,8029125
2024-01-15 10:45:00,22022.2,22023.11,22022.05,22023.11,3713,8357910
2024-01-15 10:50:00,22012.01,22015.51,22012.01,22015.51,2774,8666794
2024-01-15 10:55:00,22078.84,22081.16,22078.42,22078.42,3392,8052577
2024-01-15 11:00:00,22041.2,22045.65,22041.2,22045.65,2952,8544240
2024-01-15 11:05:00,22052.11,22056.33,22052.11,22056.33,3735,8574187
2024-01-15 11:10:00,22023.47,22026.02,22022.23,22026.02,2749,8881380
2024-01-15 11:15:00,22045.4,22046.71,22044.13,22046.71,2811,8356548
2024-01-15 11:20:00,22061.14,22063.15,22060.88,22063.15,2847,8372006
2024-01-15 11:25:00,22035.36,22038.15,22035.36,22038.15,2442,8532734
2024-01-15 11:30:00,22071.77,22074.99,22071.77,22073.46,3468,8483149
2024-01-15 11:35:00,22051.96,22053.57,22051.96,22053.15,3367,8832702
2024-01-15 11:40:00,22059.96,22062.81,22059.96,22062.81,2376,8773871
2024-01-15 11:45:00,22055.98,22055.98,22052.83,22054.54,3028,8898293
2024-01-15 11:50:00,22108.6,22110.32,22108.6,22109.83,2821,8974503
2024-01-15 11:55:00,22068.73,22072.26,22068.73,22072.02,3268,9087448
2024-01-15 12:00:00,22049.02,22051.93,22048.97,22051.88,2438,8680774
2024-01-15 12:05:00,22093.31,22097.21,22093.31,22097.21,3042,9188393
2024-01-15 12:10:00,22052.18,22057.21,22052.18,22057.21,2426,8536280
2024-01-15 12:15:00,22088.73,22089.5,22088.68,22089.24,2347,8997411
2024-01-15 12:20:00,22041.43,22045.39,22041.43,22044.71,3152,8838782
2024-01-15 12:25:00,22058.63,22061.53,22058.63,22061.53,2301,9065892
2024-01-15 12:30:00,22095.16,22097.34,22095.16,22095.54,2724,8745649
2024-01-15 12:35:00,22107.48,22108.5,22106.52,22108.5,3252,8992897
2024-01-15 12:40:00,22096.0,22097.39,22095.7,22095.97,2955,9098440
2024-01-15 12:45:00,22089.64,22096.95,22089.64,22096.95,2708,8903923
2024-01-15 12:50:00,22092.86,22095.13,22092.61,22095.13,3340,8920034
2024-01-15 12:55:00,22069.15,22073.78,22069.15,22073.78,2619,8284180
2024-01-15 13:00:00,22090.52,22091.19,22090.24,22091.13,2996,8382704
2024-01-15 13:05:00,22096.85,22096.85,22095.0,22095.78,2971,9024800
2024-01-15 13:10:00,22129.27,22129.49,22127.39,22129.49,3076,8760756
2024-01-15 13:15:00,22113.74,22114.52,22113.2,22113.33,3348,8625982
2024-01-15 13:20:00,22066.85,22069.25,22066.85,22068.17,3014,8438122
2024-01-15 13:25:00,22114.23,22114.88,22113.47,22114.6,2784,8141805
2024-01-15 13:30:00,22098.95,22098.95,22097.5,22098.93,3638,8397689
2024-01-15 13:35:00,22092.49,22097.4,22092.49,22097.28,3379,8486697
2024-01-15 13:40:00,22125.72,22128.47,22125.6,22128.47,3700,8221913
2024-01-15 13:45:00,22137.73,22142.13,22137.73,22142.13,3494,8168744
2024-01-15 13:50:00,22139.93,22144.47,22139.93,22144.47,3720,8430437
2024-01-15 13:55:00,22105.37,22106.45,22104.72,22106.45,3560,8474097
2024-01-15 14:00:00,22118.16,22119.36,22117.35,22117.35,3935,8162532
2024-01-15 14:05:00,22131.49,22132.51,22131.17,22131.17,3176,8432114
2024-01-15 14:10:00,22145.4,22149.57,22145.4,22149.57,3957,8671423
2024-01-15 14:15:00,22117.44,22117.44,22115.6,22115.6,3090,8293894
2024-01-15 14:20:00,22122.09,22124.44,22122.09,22124.44,3464,8591218
2024-01-15 14:25:00,22104.1,22104.28,22102.68,22104.28,3580,8626833
2024-01-15 14:30:00,22102.3,22103.46,22101.59,22101.59,4773,7915550
2024-01-15 14:35:00,22145.96,22148.65,22144.91,22148.65,4797,7897801
2024-01-15 14:40:00,22160.66,22164.61,22160.66,22163.71,4281,8189364
2024-01-15 14:45:00,22132.15,22136.28,22132.15,22135.08,3920,8259726
