datetime,open,high,low,close,volume
2024-01-15 09:15:00,22053.15,22053.15,21965.0,21966.43,6795
2024-01-15 09:20:00,21966.43,21968.63,21966.43,21967.56,7818
2024-01-15 09:25:00,21967.56,21968.96,21967.22,21968.6,5558
2024-01-15 09:30:00,21968.6,21972.88,21968.6,21972.88,5816
2024-01-15 09:35:00,21972.88,21975.21,21972.57,21975.21,7090
2024-01-15 09:40:00,21975.21,21979.34,21975.21,21979.34,6942
2024-01-15 09:45:00,21979.34,21980.43,21978.07,21980.43,6423
2024-01-15 09:50:00,21980.43,21983.53,21980.43,21983.53,6447
2024-01-15 09:55:00,21983.53,21987.57,21983.53,21987.57,4630
2024-01-15 10:00:00,21987.57,21988.22,21986.09,21988.22,5544
2024-01-15 10:05:00,21988.22,21989.98,21987.64,21989.98,4507
2024-01-15 10:10:00,21989.98,21989.98,21987.97,21987.97,4299
2024-01-15 10:15:00,21987.97,21991.19,21987.97,21991.19,4894
2024-01-15 10:20:00,21991.19,21993.44,21991.19,21992.45,4820
2024-01-15 10:25:00,21992.45,21992.45,21990.53,21991.72,5018
2024-01-15 10:30:00,21991.72,21993.98,21991.72,21993.98,3763
2024-01-15 10:35:00,21993.98,22000.23,21993.98,22000.23,4556
2024-01-15 10:40:00,22000.23,22003.31,22000.04,22002.96,3909
2024-01-15 10:45:00,22002.96,22003.87,22002.81,22003.87,4642
2024-01-15 10:50:00,22003.87,22007.36,22003.87,22007.36,3468
2024-01-15 10:55:00,22007.36,22009.67,22006.94,22006.94,4240
2024-01-15 11:00:00,22006.94,22011.39,22006.94,22011.39,3691
2024-01-15 11:05:00,22011.39,22015.6,22011.39,22015.6,4669
2024-01-15 11:10:00,22015.6,22018.14,22014.36,22018.14,3437
2024-01-15 11:15:00,22018.14,22019.45,22016.87,22019.45,3514
2024-01-15 11:20:00,22019.45,22021.46,22019.19,22021.46,3559
2024-01-15 11:25:00,22021.46,22024.24,22021.46,22024.24,3053
2024-01-15 11:30:00,22024.24,22027.45,22024.24,22025.93,4336
2024-01-15 11:35:00,22025.93,22027.54,22025.93,22027.12,4209
2024-01-15 11:40:00,22027.12,22029.97,22027.12,22029.97,2971
2024-01-15 11:45:00,22029.97,22029.97,22026.82,22028.53,3785
2024-01-15 11:50:00,22028.53,22030.25,22028.53,22029.76,3527
2024-01-15 11:55:00,22029.76,22033.29,22029.76,22033.05,4085
2024-01-15 12:00:00,22033.05,22035.96,22033.0,22035.91,3048
2024-01-15 12:05:00,22035.91,22039.8,22035.91,22039.8,3803
2024-01-15 12:10:00,22039.8,22044.83,22039.8,22044.83,3033
2024-01-15 12:15:00,22044.83,22045.6,22044.78,22045.34,2934
2024-01-15 12:20:00,22045.34,22049.3,22045.34,22048.62,3940
2024-01-15 12:25:00,22048.62,22051.51,22048.62,22051.51,2877
2024-01-15 12:30:00,22051.51,22053.69,22051.51,22051.89,3406
2024-01-15 12:35:00,22051.89,22052.91,22050.93,22052.91,4066
2024-01-15 12:40:00,22052.91,22054.3,22052.61,22052.88,3694
2024-01-15 12:45:00,22052.88,22060.18,22052.88,22060.18,3385
2024-01-15 12:50:00,22060.18,22062.45,22059.93,22062.45,4176
2024-01-15 12:55:00,22062.45,22067.07,22062.45,22067.07,3274
2024-01-15 13:00:00,22067.07,22067.74,22066.79,22067.68,3746
2024-01-15 13:05:00,22067.68,22067.68,22065.83,22066.61,3714
2024-01-15 13:10:00,22066.61,22066.83,22064.74,22066.83,3845
2024-01-15 13:15:00,22066.83,22067.6,22066.29,22066.42,4185
2024-01-15 13:20:00,22066.42,22068.82,22066.42,22067.74,3768
2024-01-15 13:25:00,22067.74,22068.39,22066.99,22068.11,3480
2024-01-15 13:30:00,22068.11,22068.11,22066.67,22068.09,4548
2024-01-15 13:35:00,22068.09,22073.0,22068.09,22072.88,4224
2024-01-15 13:40:00,22072.88,22075.62,22072.76,22075.62,4625
2024-01-15 13:45:00,22075.62,22080.01,22075.62,22080.01,4368
2024-01-15 13:50:00,22080.01,22084.54,22080.01,22084.54,4651
2024-01-15 13:55:00,22084.54,22085.62,22083.89,22085.62,4450
2024-01-15 14:00:00,22085.62,22086.82,22084.81,22084.81,4919
2024-01-15 14:05:00,22084.81,22085.83,22084.49,22084.49,3970
2024-01-15 14:10:00,22084.49,22088.65,22084.49,22088.65,4947
2024-01-15 14:15:00,22088.65,22088.65,22086.82,22086.82,3863
2024-01-15 14:20:00,22086.82,22089.17,22086.82,22089.17,4330
2024-01-15 14:25:00,22089.17,22089.35,22087.75,22089.35,4475
2024-01-15 14:30:00,22089.35,22090.51,22088.64,22088.64,5967
2024-01-15 14:35:00,22088.64,22091.32,22087.59,22091.32,5997
2024-01-15 14:40:00,22091.32,22095.26,22091.32,22094.36,5352
2024-01-15 14:45:00,22094.36,22098.48,22094.36,22097.28,4900
2024-01-15 14:50:00,22097.28,22103.0,22097.28,22103.0,5081
2024-01-15 14:55:00,22103.0,22105.36,22101.35,22105.36,6864
2024-01-15 15:00:00,22105.36,22107.89,22105.36,22107.72,6378
2024-01-15 15:05:00,22107.72,22108.13,22105.83,22107.5,6668
2024-01-15 15:10:00,22107.5,22108.58,22107.5,22108.44,5714
2024-01-15 15:15:00,22108.44,22113.06,22108.44,22113.06,5772
2024-01-15 15:20:00,22113.06,22113.06,22110.81,22112.78,7423
2024-01-15 15:25:00,22112.78,22114.31,22097.45,22116.47,5586
2024-01-16 09:15:00,22080.5,22122.72,22080.5,22120.16,6439
2024-01-16 09:20:00,22120.16,22120.16,22118.44,22118.44,4837
2024-01-16 09:25:00,22118.44,22120.28,22118.21,22120.28,4568
2024-01-16 09:30:00,22120.28,22120.28,22117.71,22118.9,5897
2024-01-16 09:35:00,22118.9,22118.9,22115.2,22115.2,4533
2024-01-16 09:40:00,22115.2,22115.2,22113.5,22113.5,4736
2024-01-16 09:45:00,22113.5,22113.96,22111.19,22111.19,4954
2024-01-16 09:50:00,22111.19,22111.19,22107.08,22109.5,3890
2024-01-16 09:55:00,22109.5,22109.5,22106.36,22106.36,3905
2024-01-16 10:00:00,22106.36,22106.36,22103.07,22103.07,4817
2024-01-16 10:05:00,22103.07,22103.07,22097.63,22098.16,4252
2024-01-16 10:10:00,22098.16,22098.51,22097.61,22098.51,3673
2024-01-16 10:15:00,22098.51,22098.51,22092.96,22092.96,3478
2024-01-16 10:20:00,22092.96,22096.69,22092.96,22096.69,4507
2024-01-16 10:25:00,22096.69,22096.69,22091.59,22091.59,4491
2024-01-16 10:30:00,22091.59,22091.59,22086.7,22086.7,4552
2024-01-16 10:35:00,22086.7,22087.0,22085.72,22085.72,3541
2024-01-16 10:40:00,22085.72,22085.72,22081.94,22083.24,3999
2024-01-16 10:45:00,22083.24,22083.32,22082.24,22083.32,2986
2024-01-16 10:50:00,22083.32,22083.49,22082.12,22083.11,3944
2024-01-16 10:55:00,22083.11,22083.26,22079.93,22079.93,3222
